,Survived,Pclass,Age,SibSp,Parch,Fare,Gender
138,0,3,16.0,0,0,9.2167,1
139,0,1,24.0,0,0,79.2,1
141,1,3,22.0,0,0,7.75,0
142,1,3,24.0,1,0,15.85,0
143,0,3,19.0,0,0,6.75,1
144,0,2,18.0,0,0,11.5,1
145,0,2,19.0,1,1,36.75,1
146,1,3,27.0,0,0,7.7958,1
147,0,3,9.0,2,2,34.375,0
148,0,2,36.5,0,2,26.0,1
149,0,2,42.0,0,0,13.0,1
150,0,2,51.0,0,0,12.525,1
151,1,1,22.0,1,0,66.6,0
152,0,3,55.5,0,0,8.05,1
153,0,3,40.5,0,2,14.5,1
155,0,1,51.0,0,1,61.3792,1
156,1,3,16.0,0,0,7.7333,0
157,0,3,30.0,0,0,8.05,1
160,0,3,44.0,0,1,16.1,1
161,1,2,40.0,0,0,15.75,0
162,0,3,26.0,0,0,7.775,1
163,0,3,17.0,0,0,8.6625,1
164,0,3,1.0,4,1,39.6875,1
165,1,3,9.0,0,2,20.525,1
167,0,3,45.0,1,4,27.9,0
169,0,3,28.0,0,0,56.4958,1
170,0,1,61.0,0,0,33.5,1
171,0,3,4.0,4,1,29.125,1
172,1,3,1.0,1,1,11.1333,0
173,0,3,21.0,0,0,7.925,1
174,0,1,56.0,0,0,30.6958,1
175,0,3,18.0,1,1,7.8542,1
177,0,1,50.0,0,0,28.7125,0
178,0,2,30.0,0,0,13.0,1
179,0,3,36.0,0,0,0.0,1
182,0,3,9.0,4,2,31.3875,1
183,1,2,1.0,2,1,39.0,1
184,1,3,4.0,0,2,22.025,0
187,1,1,45.0,0,0,26.55,1
188,0,3,40.0,1,1,15.5,1
189,0,3,36.0,0,0,7.8958,1
190,1,2,32.0,0,0,13.0,0
191,0,2,19.0,0,0,13.0,1
192,1,3,19.0,1,0,7.8542,0
193,1,2,3.0,1,1,26.0,1
194,1,1,44.0,0,0,27.7208,0
195,1,1,58.0,0,0,146.5208,0
197,0,3,42.0,0,1,8.4042,1
199,0,2,24.0,0,0,13.0,0
200,0,3,28.0,0,0,9.5,1
202,0,3,34.0,0,0,6.4958,1
203,0,3,45.5,0,0,7.225,1
204,1,3,18.0,0,0,8.05,1
205,0,3,2.0,0,1,10.4625,0
206,0,3,32.0,1,0,15.85,1
207,1,3,26.0,0,0,18.7875,1
208,1,3,16.0,0,0,7.75,0
209,1,1,40.0,0,0,31.0,1
210,0,3,24.0,0,0,7.05,1
211,1,2,35.0,0,0,21.0,0
212,0,3,22.0,0,0,7.25,1
213,0,2,30.0,0,0,13.0,1
215,1,1,31.0,1,0,113.275,0
216,1,3,27.0,0,0,7.925,0
217,0,2,42.0,1,0,27.0,1
218,1,1,32.0,0,0,76.2917,0
219,0,2,30.0,0,0,10.5,1
220,1,3,16.0,0,0,8.05,1
221,0,2,27.0,0,0,13.0,1
222,0,3,51.0,0,0,8.05,1
224,1,1,38.0,1,0,90.0,1
225,0,3,22.0,0,0,9.35,1
226,1,2,19.0,0,0,10.5,1
227,0,3,20.5,0,0,7.25,1
228,0,2,18.0,0,0,13.0,1
230,1,1,35.0,1,0,83.475,0
231,0,3,29.0,0,0,7.775,1
232,0,2,59.0,0,0,13.5,1
233,1,3,5.0,4,2,31.3875,0
234,0,2,24.0,0,0,10.5,1
236,0,2,44.0,1,0,26.0,1
237,1,2,8.0,0,2,26.25,0
238,0,2,19.0,0,0,10.5,1
239,0,2,33.0,0,0,12.275,1
242,0,2,29.0,0,0,10.5,1
243,0,3,22.0,0,0,7.125,1
244,0,3,30.0,0,0,7.225,1
245,0,1,44.0,2,0,90.0,1
246,0,3,25.0,0,0,7.775,0
247,1,2,24.0,0,2,14.5,0
248,1,1,37.0,1,1,52.5542,1
249,0,2,54.0,1,0,26.0,1
251,0,3,29.0,1,1,10.4625,0
252,0,1,62.0,0,0,26.55,1
253,0,3,30.0,1,0,16.1,1
254,0,3,41.0,0,2,20.2125,0
255,1,3,29.0,0,2,15.2458,0
257,1,1,30.0,0,0,86.5,0
258,1,1,35.0,0,0,512.3292,0
259,1,2,50.0,0,1,26.0,0
261,1,3,3.0,4,2,31.3875,1
262,0,1,52.0,1,1,79.65,1
263,0,1,40.0,0,0,0.0,1
265,0,2,36.0,0,0,10.5,1
266,0,3,16.0,4,1,39.6875,1
267,1,3,25.0,1,0,7.775,1
268,1,1,58.0,0,1,153.4625,0
269,1,1,35.0,0,0,135.6333,0
271,1,3,25.0,0,0,0.0,1
272,1,2,41.0,0,1,19.5,0
273,0,1,37.0,0,1,29.7,1
275,1,1,63.0,1,0,77.9583,0
276,0,3,45.0,0,0,7.75,0
278,0,3,7.0,4,1,29.125,1
279,1,3,35.0,1,1,20.25,0
280,0,3,65.0,0,0,7.75,1
281,0,3,28.0,0,0,7.8542,1
282,0,3,16.0,0,0,9.5,1
283,1,3,19.0,0,0,8.05,1
285,0,3,33.0,0,0,8.6625,1
286,1,3,30.0,0,0,9.5,1
287,0,3,22.0,0,0,7.8958,1
288,1,2,42.0,0,0,13.0,1
289,1,3,22.0,0,0,7.75,0
290,1,1,26.0,0,0,78.85,0
291,1,1,19.0,1,0,91.0792,0
292,0,2,36.0,0,0,12.875,1
293,0,3,24.0,0,0,8.85,0
294,0,3,24.0,0,0,7.8958,1
296,0,3,23.5,0,0,7.2292,1
297,0,1,2.0,1,2,151.55,0
299,1,1,50.0,0,1,247.5208,0
302,0,3,19.0,0,0,0.0,1
305,1,1,0.92,1,2,151.55,1
307,1,1,17.0,1,0,108.9,0
308,0,2,30.0,1,0,24.0,1
309,1,1,30.0,0,0,56.9292,0
310,1,1,24.0,0,0,83.1583,0
311,1,1,18.0,2,2,262.375,0
312,0,2,26.0,1,1,26.0,0
313,0,3,28.0,0,0,7.8958,1
314,0,2,43.0,1,1,26.25,1
315,1,3,26.0,0,0,7.8542,0
316,1,2,24.0,1,0,26.0,0
317,0,2,54.0,0,0,14.0,1
318,1,1,31.0,0,2,164.8667,0
319,1,1,40.0,1,1,134.5,0
320,0,3,22.0,0,0,7.25,1
321,0,3,27.0,0,0,7.8958,1
322,1,2,30.0,0,0,12.35,0
323,1,2,22.0,1,1,29.0,0
325,1,1,36.0,0,0,135.6333,0
326,0,3,61.0,0,0,6.2375,1
327,1,2,36.0,0,0,13.0,0
328,1,3,31.0,1,1,20.525,0
329,1,1,16.0,0,1,57.9792,0
331,0,1,45.5,0,0,28.5,1
332,0,1,38.0,0,1,153.4625,1
333,0,3,16.0,2,0,18.0,1
336,0,1,29.0,1,0,66.6,1
337,1,1,41.0,0,0,134.5,0
338,1,3,45.0,0,0,8.05,1
339,0,1,45.0,0,0,35.5,1
340,1,2,2.0,1,1,26.0,1
341,1,1,24.0,3,2,263.0,0
342,0,2,28.0,0,0,13.0,1
343,0,2,25.0,0,0,13.0,1
344,0,2,36.0,0,0,13.0,1
345,1,2,24.0,0,0,13.0,0
346,1,2,40.0,0,0,13.0,0
348,1,3,3.0,1,1,15.9,1
349,0,3,42.0,0,0,8.6625,1
350,0,3,23.0,0,0,9.225,1
352,0,3,15.0,1,1,7.2292,1
353,0,3,25.0,1,0,17.8,1
355,0,3,28.0,0,0,9.5,1
356,1,1,22.0,0,1,55.0,0
357,0,2,38.0,0,0,13.0,0
360,0,3,40.0,1,4,27.9,1
361,0,2,29.0,1,0,27.7208,1
362,0,3,45.0,0,1,14.4542,0
363,0,3,35.0,0,0,7.05,1
365,0,3,30.0,0,0,7.25,1
366,1,1,60.0,1,0,75.25,0
369,1,1,24.0,0,0,69.3,0
370,1,1,25.0,1,0,55.4417,1
371,0,3,18.0,1,0,6.4958,1
372,0,3,19.0,0,0,8.05,1
373,0,1,22.0,0,0,135.6333,1
374,0,3,3.0,3,1,21.075,0
376,1,3,22.0,0,0,7.25,0
377,0,1,27.0,0,2,211.5,1
378,0,3,20.0,0,0,4.0125,1
379,0,3,19.0,0,0,7.775,1
380,1,1,42.0,0,0,227.525,0
381,1,3,1.0,0,2,15.7417,0
382,0,3,32.0,0,0,7.925,1
383,1,1,35.0,1,0,52.0,0
385,0,2,18.0,0,0,73.5,1
386,0,3,1.0,5,2,46.9,1
387,1,2,36.0,0,0,13.0,0
389,1,2,17.0,0,0,12.0,0
390,1,1,36.0,1,2,120.0,1
391,1,3,21.0,0,0,7.7958,1
392,0,3,28.0,2,0,7.925,1
393,1,1,23.0,1,0,113.275,0
394,1,3,24.0,0,2,16.7,0
395,0,3,22.0,0,0,7.7958,1
396,0,3,31.0,0,0,7.8542,0
397,0,2,46.0,0,0,26.0,1
398,0,2,23.0,0,0,10.5,1
399,1,2,28.0,0,0,12.65,0
400,1,3,39.0,0,0,7.925,1
401,0,3,26.0,0,0,8.05,1
402,0,3,21.0,1,0,9.825,0
403,0,3,28.0,1,0,15.85,1
404,0,3,20.0,0,0,8.6625,0
405,0,2,34.0,1,0,21.0,1
406,0,3,51.0,0,0,7.75,1
407,1,2,3.0,1,1,18.75,1
408,0,3,21.0,0,0,7.775,1
412,1,1,33.0,1,0,90.0,0
414,1,3,44.0,0,0,7.925,1
416,1,2,34.0,1,1,32.5,0
417,1,2,18.0,0,2,13.0,0
418,0,2,30.0,0,0,13.0,1
419,0,3,10.0,0,2,24.15,0
421,0,3,21.0,0,0,7.7333,1
422,0,3,29.0,0,0,7.875,1
423,0,3,28.0,1,1,14.4,0
424,0,3,18.0,1,1,20.2125,1
426,1,2,28.0,1,0,26.0,0
427,1,2,19.0,0,0,26.0,0
429,1,3,32.0,0,0,8.05,1
430,1,1,28.0,0,0,26.55,1
432,1,2,42.0,1,0,26.0,0
433,0,3,17.0,0,0,7.125,1
434,0,1,50.0,1,0,55.9,1
435,1,1,14.0,1,2,120.0,0
436,0,3,21.0,2,2,34.375,0
437,1,2,24.0,2,3,18.75,0
438,0,1,64.0,1,4,263.0,1
439,0,2,31.0,0,0,10.5,1
440,1,2,45.0,1,1,26.25,0
441,0,3,20.0,0,0,9.5,1
442,0,3,25.0,1,0,7.775,1
443,1,2,28.0,0,0,13.0,0
445,1,1,4.0,0,2,81.8583,1
446,1,2,13.0,0,1,19.5,0
447,1,1,34.0,0,0,26.55,1
448,1,3,5.0,2,1,19.2583,0
449,1,1,52.0,0,0,30.5,1
450,0,2,36.0,1,2,27.75,1
452,0,1,30.0,0,0,27.75,1
453,1,1,49.0,1,0,89.1042,1
455,1,3,29.0,0,0,7.8958,1
456,0,1,65.0,0,0,26.55,1
458,1,2,50.0,0,0,10.5,0
460,1,1,48.0,0,0,26.55,1
461,0,3,34.0,0,0,8.05,1
462,0,1,47.0,0,0,38.5,1
463,0,2,48.0,0,0,13.0,1
465,0,3,38.0,0,0,7.05,1
467,0,1,56.0,0,0,26.55,1
469,1,3,0.75,2,1,19.2583,0
471,0,3,38.0,0,0,8.6625,1
472,1,2,33.0,1,2,27.75,0
473,1,2,23.0,0,0,13.7917,0
474,0,3,22.0,0,0,9.8375,0
476,0,2,34.0,1,0,21.0,1
477,0,3,29.0,1,0,7.0458,1
478,0,3,22.0,0,0,7.5208,1
479,1,3,2.0,0,1,12.2875,0
480,0,3,9.0,5,2,46.9,1
482,0,3,50.0,0,0,8.05,1
483,1,3,63.0,0,0,9.5875,0
484,1,1,25.0,1,0,91.0792,1
486,1,1,35.0,1,0,90.0,0
487,0,1,58.0,0,0,29.7,1
488,0,3,30.0,0,0,8.05,1
489,1,3,9.0,1,1,15.9,1
491,0,3,21.0,0,0,7.25,1
492,0,1,55.0,0,0,30.5,1
493,0,1,71.0,0,0,49.5042,1
494,0,3,21.0,0,0,8.05,1
496,1,1,54.0,1,0,78.2667,0
498,0,1,25.0,1,2,151.55,0
499,0,3,24.0,0,0,7.7958,1
500,0,3,17.0,0,0,8.6625,1
501,0,3,21.0,0,0,7.75,0
503,0,3,37.0,0,0,9.5875,0
504,1,1,16.0,0,0,86.5,0
505,0,1,18.0,1,0,108.9,1
506,1,2,33.0,0,2,26.0,0
508,0,3,28.0,0,0,22.525,1
509,1,3,26.0,0,0,56.4958,1
510,1,3,29.0,0,0,7.75,1
512,1,1,36.0,0,0,26.2875,1
513,1,1,54.0,1,0,59.4,0
514,0,3,24.0,0,0,7.4958,1
515,0,1,47.0,0,0,34.0208,1
516,1,2,34.0,0,0,10.5,0
518,1,2,36.0,1,0,26.0,0
519,0,3,32.0,0,0,7.8958,1
520,1,1,30.0,0,0,93.5,0
521,0,3,22.0,0,0,7.8958,1
523,1,1,44.0,0,1,57.9792,0
525,0,3,40.5,0,0,7.75,1
526,1,2,50.0,0,0,10.5,0
528,0,3,39.0,0,0,7.925,1
529,0,2,23.0,2,1,11.5,1
530,1,2,2.0,1,1,26.0,0
532,0,3,17.0,1,1,7.2292,1
534,0,3,30.0,0,0,8.6625,0
535,1,2,7.0,0,2,26.25,0
536,0,1,45.0,0,0,26.55,1
537,1,1,30.0,0,0,106.425,0
539,1,1,22.0,0,2,49.5,0
540,1,1,36.0,0,2,71.0,0
541,0,3,9.0,4,2,31.275,0
542,0,3,11.0,4,2,31.275,0
543,1,2,32.0,1,0,26.0,1
544,0,1,50.0,1,0,106.425,1
545,0,1,64.0,0,0,26.0,1
546,1,2,19.0,1,0,26.0,0
548,0,3,33.0,1,1,20.525,1
549,1,2,8.0,1,1,36.75,1
550,1,1,17.0,0,2,110.8833,1
551,0,2,27.0,0,0,26.0,1
553,1,3,22.0,0,0,7.225,1
554,1,3,22.0,0,0,7.775,0
555,0,1,62.0,0,0,26.55,1
556,1,1,48.0,1,0,39.6,0
558,1,1,39.0,1,1,79.65,0
559,1,3,36.0,1,0,17.4,0
561,0,3,40.0,0,0,7.8958,1
562,0,2,28.0,0,0,13.5,1
565,0,3,24.0,2,0,24.15,1
566,0,3,19.0,0,0,7.8958,1
567,0,3,29.0,0,4,21.075,0
569,1,3,32.0,0,0,7.8542,1
570,1,2,62.0,0,0,10.5,1
571,1,1,53.0,2,0,51.4792,0
572,1,1,36.0,0,0,26.3875,1
574,0,3,16.0,0,0,8.05,1
575,0,3,19.0,0,0,14.5,1
576,1,2,34.0,0,0,13.0,0
577,1,1,39.0,1,0,55.9,0
579,1,3,32.0,0,0,7.925,1
580,1,2,25.0,1,1,30.0,0
581,1,1,39.0,1,1,110.8833,0
582,0,2,54.0,0,0,26.0,1
583,0,1,36.0,0,0,40.125,1
585,1,1,18.0,0,2,79.65,0
586,0,2,47.0,0,0,15.0,1
587,1,1,60.0,1,1,79.2,1
588,0,3,22.0,0,0,8.05,1
590,0,3,35.0,0,0,7.125,1
591,1,1,52.0,1,0,78.2667,0
592,0,3,47.0,0,0,7.25,1
594,0,2,37.0,1,0,26.0,1
595,0,3,36.0,1,1,24.15,1
597,0,3,49.0,0,0,0.0,1
599,1,1,49.0,1,0,56.9292,1
600,1,2,24.0,2,1,27.0,0
603,0,3,44.0,0,0,8.05,1
604,1,1,35.0,0,0,26.55,1
605,0,3,36.0,1,0,15.55,1
606,0,3,30.0,0,0,7.8958,1
607,1,1,27.0,0,0,30.5,1
608,1,2,22.0,1,2,41.5792,0
609,1,1,40.0,0,0,153.4625,0
610,0,3,39.0,1,5,31.275,0
614,0,3,35.0,0,0,8.05,1
615,1,2,24.0,1,2,65.0,0
616,0,3,34.0,1,1,14.4,1
617,0,3,26.0,1,0,16.1,0
618,1,2,4.0,2,1,39.0,0
619,0,2,26.0,0,0,10.5,1
620,0,3,27.0,1,0,14.4542,1
621,1,1,42.0,1,0,52.5542,1
622,1,3,20.0,1,1,15.7417,1
623,0,3,21.0,0,0,7.8542,1
624,0,3,21.0,0,0,16.1,1
625,0,1,61.0,0,0,32.3208,1
626,0,2,57.0,0,0,12.35,1
627,1,1,21.0,0,0,77.9583,0
628,0,3,26.0,0,0,7.8958,1
630,1,1,80.0,0,0,30.0,1
631,0,3,51.0,0,0,7.0542,1
632,1,1,32.0,0,0,30.5,1
634,0,3,9.0,3,2,27.9,0
635,1,2,28.0,0,0,13.0,0
636,0,3,32.0,0,0,7.925,1
637,0,2,31.0,1,1,26.25,1
638,0,3,41.0,0,5,39.6875,0
640,0,3,20.0,0,0,7.8542,1
641,1,1,24.0,0,0,69.3,0
642,0,3,2.0,3,2,27.9,0
644,1,3,0.75,2,1,19.2583,0
645,1,1,48.0,1,0,76.7292,1
646,0,3,19.0,0,0,7.8958,1
647,1,1,56.0,0,0,35.5,1
649,1,3,23.0,0,0,7.55,0
651,1,2,18.0,0,1,23.0,0
652,0,3,21.0,0,0,8.4333,1
654,0,3,18.0,0,0,6.75,0
655,0,2,24.0,2,0,73.5,1
657,0,3,32.0,1,1,15.5,0
658,0,2,23.0,0,0,13.0,1
659,0,1,58.0,0,2,113.275,1
660,1,1,50.0,2,0,133.65,1
661,0,3,40.0,0,0,7.225,1
662,0,1,47.0,0,0,25.5875,1
663,0,3,36.0,0,0,7.4958,1
664,1,3,20.0,1,0,7.925,1
665,0,2,32.0,2,0,73.5,1
666,0,2,25.0,0,0,13.0,1
668,0,3,43.0,0,0,8.05,1
670,1,2,40.0,1,1,39.0,0
671,0,1,31.0,1,0,52.0,1
672,0,2,70.0,0,0,10.5,1
673,1,2,31.0,0,0,13.0,1
675,0,3,18.0,0,0,7.775,1
676,0,3,24.5,0,0,8.05,1
677,1,3,18.0,0,0,9.8417,0
678,0,3,43.0,1,6,46.9,0
679,1,1,36.0,0,1,512.3292,1
681,1,1,27.0,0,0,76.7292,1
682,0,3,20.0,0,0,9.225,1
683,0,3,14.0,5,2,46.9,1
684,0,2,60.0,1,1,39.0,1
685,0,2,25.0,1,2,41.5792,1
686,0,3,14.0,4,1,39.6875,1
687,0,3,19.0,0,0,10.1708,1
688,0,3,18.0,0,0,7.7958,1
689,1,1,15.0,0,1,211.3375,0
690,1,1,31.0,1,0,57.0,1
691,1,3,4.0,0,1,13.4167,0
693,0,3,25.0,0,0,7.225,1
694,0,1,60.0,0,0,26.55,1
695,0,2,52.0,0,0,13.5,1
696,0,3,44.0,0,0,8.05,1
698,0,1,49.0,1,1,110.8833,1
699,0,3,42.0,0,0,7.65,1
700,1,1,18.0,1,0,227.525,0
701,1,1,35.0,0,0,26.2875,1
702,0,3,18.0,0,1,14.4542,0
703,0,3,25.0,0,0,7.7417,1
704,0,3,26.0,1,0,7.8542,1
705,0,2,39.0,0,0,26.0,1
706,1,2,45.0,0,0,13.5,0
707,1,1,42.0,0,0,26.2875,1
708,1,1,22.0,0,0,151.55,0
710,1,1,24.0,0,0,49.5042,0
712,1,1,48.0,1,0,52.0,1
713,0,3,29.0,0,0,9.4833,1
714,0,2,52.0,0,0,13.0,1
715,0,3,19.0,0,0,7.65,1
716,1,1,38.0,0,0,227.525,0
717,1,2,27.0,0,0,10.5,0
719,0,3,33.0,0,0,7.775,1
720,1,2,6.0,0,1,33.0,0
721,0,3,17.0,1,0,7.0542,1
722,0,2,34.0,0,0,13.0,1
723,0,2,50.0,0,0,13.0,1
724,1,1,27.0,1,0,53.1,1
725,0,3,20.0,0,0,8.6625,1
726,1,2,30.0,3,0,21.0,0
728,0,2,25.0,1,0,26.0,1
729,0,3,25.0,1,0,7.925,0
730,1,1,29.0,0,0,211.3375,0
731,0,3,11.0,0,0,18.7875,1
733,0,2,23.0,0,0,13.0,1
734,0,2,23.0,0,0,13.0,1
735,0,3,28.5,0,0,16.1,1
736,0,3,48.0,1,3,34.375,0
737,1,1,35.0,0,0,512.3292,1
741,0,1,36.0,1,0,78.85,1
742,1,1,21.0,2,2,262.375,0
743,0,3,24.0,1,0,16.1,1
744,1,3,31.0,0,0,7.925,1
745,0,1,70.0,1,1,71.0,1
746,0,3,16.0,1,1,20.25,1
747,1,2,30.0,0,0,13.0,0
748,0,1,19.0,1,0,53.1,1
749,0,3,31.0,0,0,7.75,1
750,1,2,4.0,1,1,23.0,0
751,1,3,6.0,0,1,12.475,1
752,0,3,33.0,0,0,9.5,1
753,0,3,23.0,0,0,7.8958,1
754,1,2,48.0,1,2,65.0,0
755,1,2,0.67,1,1,14.5,1
756,0,3,28.0,0,0,7.7958,1
757,0,2,18.0,0,0,11.5,1
758,0,3,34.0,0,0,8.05,1
759,1,1,33.0,0,0,86.5,0
761,0,3,41.0,0,0,7.125,1
762,1,3,20.0,0,0,7.2292,1
763,1,1,36.0,1,2,120.0,0
764,0,3,16.0,0,0,7.775,1
765,1,1,51.0,1,0,77.9583,0
767,0,3,30.5,0,0,7.75,0
769,0,3,32.0,0,0,8.3625,1
770,0,3,24.0,0,0,9.5,1
771,0,3,48.0,0,0,7.8542,1
772,0,2,57.0,0,0,10.5,0
774,1,2,54.0,1,3,23.0,0
775,0,3,18.0,0,0,7.75,1
777,1,3,5.0,0,0,12.475,0
779,1,1,43.0,0,1,211.3375,0
780,1,3,13.0,0,0,7.2292,0
781,1,1,17.0,1,0,57.0,0
782,0,1,29.0,0,0,30.0,1
784,0,3,25.0,0,0,7.05,1
785,0,3,25.0,0,0,7.25,1
786,1,3,18.0,0,0,7.4958,0
787,0,3,8.0,4,1,29.125,1
788,1,3,1.0,1,2,20.575,1
789,0,1,46.0,0,0,79.2,1
791,0,2,16.0,0,0,26.0,1
794,0,3,25.0,0,0,7.8958,1
795,0,2,39.0,0,0,13.0,1
796,1,1,49.0,0,0,25.9292,0
797,1,3,31.0,0,0,8.6833,0
798,0,3,30.0,0,0,7.2292,1
799,0,3,30.0,1,1,24.15,0
800,0,2,34.0,0,0,13.0,1
801,1,2,31.0,1,1,26.25,0
802,1,1,11.0,1,2,120.0,1
803,1,3,0.42,0,1,8.5167,1
804,1,3,27.0,0,0,6.975,1
805,0,3,31.0,0,0,7.775,1
806,0,1,39.0,0,0,0.0,1
807,0,3,18.0,0,0,7.775,0
808,0,2,39.0,0,0,13.0,1
809,1,1,33.0,1,0,53.1,0
810,0,3,26.0,0,0,7.8875,1
811,0,3,39.0,0,0,24.15,1
812,0,2,35.0,0,0,10.5,1
813,0,3,6.0,4,2,31.275,0
814,0,3,30.5,0,0,8.05,1
816,0,3,23.0,0,0,7.925,0
817,0,2,31.0,1,1,37.0042,1
818,0,3,43.0,0,0,6.45,1
819,0,3,10.0,3,2,27.9,1
820,1,1,52.0,1,1,93.5,0
821,1,3,27.0,0,0,8.6625,1
822,0,1,38.0,0,0,0.0,1
823,1,3,27.0,0,1,12.475,0
824,0,3,2.0,4,1,39.6875,1
827,1,2,1.0,0,2,37.0042,1
829,1,1,62.0,0,0,80.0,0
830,1,3,15.0,1,0,14.4542,0
831,1,2,0.83,1,1,18.75,1
833,0,3,23.0,0,0,7.8542,1
834,0,3,18.0,0,0,8.3,1
835,1,1,39.0,1,1,83.1583,0
836,0,3,21.0,0,0,8.6625,1
838,1,3,32.0,0,0,56.4958,1
840,0,3,20.0,0,0,7.925,1
841,0,2,16.0,0,0,10.5,1
842,1,1,30.0,0,0,31.0,0
843,0,3,34.5,0,0,6.4375,1
844,0,3,17.0,0,0,8.6625,1
845,0,3,42.0,0,0,7.55,1
847,0,3,35.0,0,0,7.8958,1
848,0,2,28.0,0,1,33.0,1
850,0,3,4.0,4,2,31.275,1
851,0,3,74.0,0,0,7.775,1
852,0,3,9.0,1,1,15.2458,0
853,1,1,16.0,0,1,39.4,0
854,0,2,44.0,1,0,26.0,0
855,1,3,18.0,0,1,9.35,0
856,1,1,45.0,1,1,164.8667,0
857,1,1,51.0,0,0,26.55,1
